Approved symbol	Locus group	Ensembl gene ID
RPS13P4	pseudogene	ENSG00000238111
RPS13P5	pseudogene	ENSG00000237953
RPS13P6	pseudogene	
RPS13P7	pseudogene	
RPS13P8	pseudogene	
RPS14	protein-coding gene	ENSG00000164587
RPS14P1	pseudogene	
RPS14P10	pseudogene	
RPS14P2	pseudogene	
RPS14P3	pseudogene	
RPS14P4	pseudogene	ENSG00000226928
RPS14P5	pseudogene	ENSG00000225933
RPS14P6	pseudogene	
RPS14P7	pseudogene	ENSG00000242635
RPS14P8	pseudogene	ENSG00000239528
RPS14P9	pseudogene	
RPS15	protein-coding gene	ENSG00000115268
RPS15A	protein-coding gene	ENSG00000134419
RPS15AP1	pseudogene	ENSG00000214535
RPS15AP10	pseudogene	ENSG00000225447
RPS15AP11	pseudogene	ENSG00000234093
RPS15AP12	pseudogene	ENSG00000232134
RPS15AP13	pseudogene	ENSG00000228568
RPS15AP14	pseudogene	ENSG00000233131
RPS15AP15	pseudogene	ENSG00000223739
RPS15AP16	pseudogene	ENSG00000239483
RPS15AP17	pseudogene	ENSG00000225405
RPS15AP18	pseudogene	ENSG00000242979
RPS15AP19	pseudogene	
RPS15AP2	pseudogene	
RPS15AP20	pseudogene	
RPS15AP21	pseudogene	
RPS15AP22	pseudogene	
RPS15AP23	pseudogene	
RPS15AP24	pseudogene	ENSG00000241511
RPS15AP25	pseudogene	ENSG00000236191
RPS15AP26	pseudogene	
RPS15AP27	pseudogene	ENSG00000236783
RPS15AP28	pseudogene	ENSG00000229197
RPS15AP29	pseudogene	ENSG00000237827
RPS15AP3	pseudogene	ENSG00000214903
RPS15AP30	pseudogene	ENSG00000227560
RPS15AP31	pseudogene	
RPS15AP32	pseudogene	ENSG00000242461
RPS15AP33	pseudogene	
RPS15AP34	pseudogene	ENSG00000241808
RPS15AP35	pseudogene	
RPS15AP36	pseudogene	ENSG00000213013
RPS15AP37	pseudogene	
RPS15AP38	pseudogene	ENSG00000237668
RPS15AP39	pseudogene	ENSG00000229822
RPS15AP4	pseudogene	
RPS15AP40	pseudogene	ENSG00000233921
RPS15AP5	pseudogene	ENSG00000223540
RPS15AP6	pseudogene	ENSG00000233072
RPS15AP7	pseudogene	ENSG00000234088
RPS15AP8	pseudogene	
RPS15AP9	pseudogene	ENSG00000228453
RPS15P1	pseudogene	
RPS15P2	pseudogene	
RPS15P3	pseudogene	
RPS15P4	pseudogene	ENSG00000233762
RPS15P5	pseudogene	ENSG00000229806
RPS15P6	pseudogene	
RPS15P7	pseudogene	
RPS15P8	pseudogene	
RPS15P9	pseudogene	ENSG00000240846
RPS16	protein-coding gene	ENSG00000105193
RPS16P1	pseudogene	
RPS16P10	pseudogene	
RPS16P2	pseudogene	ENSG00000213729
RPS16P3	pseudogene	ENSG00000233329
RPS16P4	pseudogene	
RPS16P5	pseudogene	ENSG00000217527
RPS16P6	pseudogene	
RPS16P7	pseudogene	
RPS16P8	pseudogene	ENSG00000213664
RPS16P9	pseudogene	ENSG00000242675
RPS17	protein-coding gene	ENSG00000182774
RPS17P1	pseudogene	ENSG00000213900
RPS17P10	pseudogene	
RPS17P11	pseudogene	ENSG00000244621
RPS17P12	pseudogene	
RPS17P13	pseudogene	ENSG00000224706
RPS17P14	pseudogene	ENSG00000243287
RPS17P15	pseudogene	ENSG00000239354
RPS17P16	pseudogene	
RPS17P17	pseudogene	ENSG00000225758
RPS17P2	pseudogene	ENSG00000197575
RPS17P3	pseudogene	
RPS17P5	pseudogene	ENSG00000060303
RPS17P6	pseudogene	
RPS17P7	pseudogene	ENSG00000232723
RPS17P8	pseudogene	ENSG00000226242
RPS17P9	pseudogene	
RPS18	protein-coding gene	ENSG00000231500
RPS18P1	pseudogene	ENSG00000225831
RPS18P10	pseudogene	
RPS18P11	pseudogene	
RPS18P12	pseudogene	ENSG00000230897
RPS18P13	pseudogene	ENSG00000243455
RPS18P14	pseudogene	
RPS18P2	pseudogene	
RPS18P3	pseudogene	
RPS18P4	pseudogene	
RPS18P5	pseudogene	
RPS18P6	pseudogene	ENSG00000244048
RPS18P7	pseudogene	
RPS18P8	pseudogene	
RPS18P9	pseudogene	ENSG00000220848
RPS19	protein-coding gene	ENSG00000105372
RPS19BP1	protein-coding gene	ENSG00000187051
RPS19P1	pseudogene	ENSG00000214612
RPS19P2	pseudogene	
RPS19P3	pseudogene	ENSG00000240463
RPS19P4	pseudogene	
RPS19P5	pseudogene	
RPS19P6	pseudogene	ENSG00000234637
RPS19P7	pseudogene	ENSG00000228462
RPS2	protein-coding gene	ENSG00000140988
RPS20	protein-coding gene	ENSG00000008988
RPS20P1	pseudogene	ENSG00000229761
RPS20P10	pseudogene	ENSG00000233971
RPS20P11	pseudogene	
RPS20P12	pseudogene	ENSG00000237784
RPS20P13	pseudogene	ENSG00000228848
RPS20P14	pseudogene	ENSG00000223803
RPS20P15	pseudogene	ENSG00000227523
RPS20P16	pseudogene	
RPS20P17	pseudogene	
RPS20P18	pseudogene	
RPS20P19	pseudogene	
RPS20P2	pseudogene	ENSG00000219274
RPS20P20	pseudogene	ENSG00000241942
RPS20P21	pseudogene	ENSG00000244295
RPS20P22	pseudogene	ENSG00000239218
RPS20P23	pseudogene	ENSG00000242399
RPS20P24	pseudogene	ENSG00000236862
RPS20P25	pseudogene	ENSG00000228375
RPS20P26	pseudogene	
RPS20P27	pseudogene	
RPS20P28	pseudogene	
RPS20P29	pseudogene	
RPS20P3	pseudogene	
RPS20P30	pseudogene	
RPS20P31	pseudogene	ENSG00000240925
RPS20P32	pseudogene	ENSG00000218198
RPS20P33	pseudogene	ENSG00000242085
RPS20P34	pseudogene	
RPS20P35	pseudogene	
RPS20P4	pseudogene	ENSG00000241907
RPS20P5	pseudogene	ENSG00000236888
RPS20P6	pseudogene	
RPS20P7	pseudogene	
RPS20P8	pseudogene	
RPS20P9	pseudogene	ENSG00000237162
RPS21	protein-coding gene	ENSG00000171858
RPS21P1	pseudogene	ENSG00000229795
RPS21P2	pseudogene	ENSG00000230353
RPS21P3	pseudogene	
RPS21P4	pseudogene	ENSG00000242358
RPS21P5	pseudogene	
RPS21P6	pseudogene	
RPS21P7	pseudogene	
RPS21P8	pseudogene	ENSG00000223782
RPS23	protein-coding gene	ENSG00000186468
RPS23P1	pseudogene	ENSG00000243504
RPS23P10	pseudogene	ENSG00000224203
RPS23P2	pseudogene	ENSG00000213448
RPS23P3	pseudogene	ENSG00000244099
RPS23P4	pseudogene	ENSG00000240992
RPS23P5	pseudogene	ENSG00000242608
RPS23P6	pseudogene	ENSG00000241641
RPS23P7	pseudogene	ENSG00000239527
RPS23P8	pseudogene	ENSG00000230629
RPS23P9	pseudogene	ENSG00000231586
RPS24	protein-coding gene	ENSG00000138326
RPS24P1	pseudogene	ENSG00000236477
RPS24P10	pseudogene	
RPS24P11	pseudogene	
RPS24P12	pseudogene	ENSG00000220237
RPS24P13	pseudogene	ENSG00000233190
RPS24P14	pseudogene	ENSG00000223688
RPS24P15	pseudogene	
RPS24P16	pseudogene	ENSG00000242634
RPS24P17	pseudogene	ENSG00000243988
RPS24P18	pseudogene	ENSG00000243925
RPS24P19	pseudogene	ENSG00000227008
RPS24P2	pseudogene	
RPS24P21	pseudogene	ENSG00000230249
RPS24P3	pseudogene	
RPS24P4	pseudogene	
RPS24P5	pseudogene	
RPS24P6	pseudogene	ENSG00000233158
RPS24P7	pseudogene	ENSG00000227361
RPS24P8	pseudogene	ENSG00000224094
RPS24P9	pseudogene	
RPS25	protein-coding gene	ENSG00000118181
RPS25P1	pseudogene	
RPS25P10	pseudogene	
RPS25P2	pseudogene	
RPS25P3	pseudogene	ENSG00000233416
RPS25P4	pseudogene	
RPS25P5	pseudogene	
RPS25P6	pseudogene	
RPS25P7	pseudogene	
RPS25P8	pseudogene	
RPS25P9	pseudogene	ENSG00000232142
RPS26	protein-coding gene	ENSG00000197728
RPS26P1	pseudogene	
RPS26P10	pseudogene	
RPS26P11	pseudogene	ENSG00000196933
RPS26P12	pseudogene	
RPS26P13	pseudogene	ENSG00000227887
RPS26P14	pseudogene	
RPS26P15	pseudogene	ENSG00000223416
RPS26P16	pseudogene	
RPS26P17	pseudogene	
RPS26P18	pseudogene	ENSG00000229087
RPS26P19	pseudogene	ENSG00000244563
RPS26P2	pseudogene	ENSG00000233278
RPS26P20	pseudogene	ENSG00000224553
RPS26P21	pseudogene	ENSG00000242829
RPS26P22	pseudogene	
RPS26P23	pseudogene	
RPS26P24	pseudogene	ENSG00000243920
RPS26P25	pseudogene	
RPS26P26	pseudogene	
RPS26P27	pseudogene	
RPS26P28	pseudogene	ENSG00000243538
RPS26P29	pseudogene	
RPS26P3	pseudogene	ENSG00000212829
RPS26P30	pseudogene	ENSG00000234839
RPS26P31	pseudogene	ENSG00000235459
RPS26P32	pseudogene	
RPS26P33	pseudogene	
RPS26P34	pseudogene	ENSG00000240427
RPS26P35	pseudogene	ENSG00000242206
RPS26P36	pseudogene	
RPS26P37	pseudogene	
RPS26P38	pseudogene	ENSG00000234192
RPS26P39	pseudogene	ENSG00000227586
RPS26P4	pseudogene	ENSG00000228349
RPS26P40	pseudogene	ENSG00000231366
RPS26P41	pseudogene	ENSG00000237139
RPS26P42	pseudogene	ENSG00000232437
RPS26P43	pseudogene	ENSG00000244641
RPS26P44	pseudogene	
RPS26P45	pseudogene	ENSG00000241765
RPS26P46	pseudogene	
RPS26P47	pseudogene	ENSG00000234354
RPS26P48	pseudogene	ENSG00000239438
RPS26P49	pseudogene	ENSG00000239365
RPS26P5	pseudogene	ENSG00000224602
RPS26P50	pseudogene	
RPS26P51	pseudogene	
RPS26P52	pseudogene	ENSG00000242307
RPS26P53	pseudogene	
RPS26P54	pseudogene	ENSG00000224161
RPS26P55	pseudogene	ENSG00000239210
RPS26P56	pseudogene	ENSG00000226339
RPS26P57	pseudogene	ENSG00000236880
RPS26P58	pseudogene	ENSG00000225071
RPS26P6	pseudogene	ENSG00000212994
RPS26P7	pseudogene	
RPS26P8	pseudogene	ENSG00000204652
RPS26P9	pseudogene	
RPS27	protein-coding gene	ENSG00000177954
RPS27A	protein-coding gene	ENSG00000143947
RPS27AP1	pseudogene	ENSG00000242692
RPS27AP10	pseudogene	ENSG00000240974
RPS27AP11	pseudogene	ENSG00000218208
RPS27AP12	pseudogene	ENSG00000225224
RPS27AP13	pseudogene	ENSG00000244159
RPS27AP14	pseudogene	ENSG00000236594
RPS27AP15	pseudogene	ENSG00000229753
RPS27AP16	pseudogene	ENSG00000224631
RPS27AP17	pseudogene	ENSG00000237490
RPS27AP18	pseudogene	ENSG00000249851
RPS27AP19	pseudogene	ENSG00000269228
RPS27AP2	pseudogene	ENSG00000232333
RPS27AP20	pseudogene	ENSG00000182888
RPS27AP3	pseudogene	ENSG00000226144
RPS27AP4	pseudogene	
RPS27AP5	other	ENSG00000231767
RPS27AP6	pseudogene	ENSG00000224800
RPS27AP7	pseudogene	ENSG00000236549
RPS27AP8	pseudogene	ENSG00000237483
RPS27AP9	pseudogene	ENSG00000242706
RPS27L	protein-coding gene	ENSG00000185088
RPS27P1	pseudogene	ENSG00000223876
RPS27P10	pseudogene	ENSG00000231017
RPS27P11	pseudogene	
RPS27P12	pseudogene	ENSG00000241673
RPS27P13	pseudogene	
RPS27P14	pseudogene	ENSG00000244717
RPS27P15	pseudogene	ENSG00000218459
RPS27P16	pseudogene	ENSG00000225907
RPS27P17	pseudogene	
RPS27P18	pseudogene	ENSG00000233135
RPS27P19	pseudogene	
RPS27P2	pseudogene	
RPS27P20	pseudogene	ENSG00000240121
RPS27P21	pseudogene	ENSG00000240759
RPS27P22	pseudogene	ENSG00000241451
RPS27P23	pseudogene	ENSG00000239413
RPS27P24	pseudogene	
RPS27P25	pseudogene	ENSG00000239881
RPS27P26	pseudogene	ENSG00000240043
RPS27P27	pseudogene	ENSG00000244043
RPS27P28	pseudogene	
RPS27P29	pseudogene	ENSG00000240231
RPS27P3	pseudogene	
RPS27P4	pseudogene	
RPS27P5	pseudogene	ENSG00000238183
RPS27P6	pseudogene	
RPS27P7	pseudogene	
RPS27P8	pseudogene	
RPS27P9	pseudogene	
RPS28	protein-coding gene	ENSG00000233927
RPS28P1	pseudogene	ENSG00000270912
RPS28P2	pseudogene	
RPS28P3	pseudogene	
RPS28P4	pseudogene	ENSG00000237039
RPS28P5	pseudogene	ENSG00000224646
RPS28P6	pseudogene	
RPS28P7	pseudogene	ENSG00000227097
RPS28P8	pseudogene	ENSG00000226093
RPS28P9	pseudogene	
RPS29	protein-coding gene	ENSG00000213741
RPS29P1	pseudogene	ENSG00000242293
RPS29P10	pseudogene	ENSG00000226884
RPS29P11	pseudogene	ENSG00000242640
RPS29P12	pseudogene	ENSG00000243664
RPS29P13	pseudogene	ENSG00000217089
RPS29P14	pseudogene	ENSG00000229054
RPS29P15	pseudogene	ENSG00000235926
RPS29P16	pseudogene	ENSG00000235354
RPS29P17	pseudogene	ENSG00000227852
RPS29P18	pseudogene	
RPS29P19	pseudogene	ENSG00000243353
RPS29P2	pseudogene	ENSG00000239281
RPS29P20	pseudogene	ENSG00000240385
RPS29P21	pseudogene	ENSG00000241913
RPS29P22	pseudogene	ENSG00000240873
RPS29P23	pseudogene	ENSG00000231361
RPS29P24	pseudogene	ENSG00000244253
RPS29P25	pseudogene	ENSG00000243581
RPS29P26	pseudogene	ENSG00000239320
RPS29P27	pseudogene	ENSG00000240320
RPS29P28	pseudogene	ENSG00000232069
RPS29P29	pseudogene	ENSG00000233717
RPS29P3	pseudogene	ENSG00000225770
RPS29P30	pseudogene	ENSG00000268243
RPS29P31	pseudogene	ENSG00000224279
RPS29P32	pseudogene	ENSG00000276703
RPS29P33	pseudogene	ENSG00000226470
RPS29P4	pseudogene	ENSG00000233946
RPS29P5	pseudogene	ENSG00000230777
RPS29P6	pseudogene	ENSG00000230451
RPS29P7	pseudogene	ENSG00000231622
RPS29P8	pseudogene	ENSG00000232238
RPS29P9	pseudogene	ENSG00000223433
RPS2P1	pseudogene	ENSG00000225246
RPS2P10	pseudogene	
RPS2P11	pseudogene	
RPS2P12	pseudogene	
RPS2P13	pseudogene	
RPS2P14	pseudogene	
RPS2P15	pseudogene	ENSG00000235440
RPS2P16	pseudogene	ENSG00000230799
RPS2P17	pseudogene	ENSG00000213399
RPS2P18	pseudogene	ENSG00000231735
RPS2P19	pseudogene	
RPS2P2	pseudogene	ENSG00000177776
RPS2P20	pseudogene	
RPS2P21	pseudogene	
RPS2P22	pseudogene	
RPS2P23	pseudogene	
RPS2P24	pseudogene	ENSG00000244019
RPS2P25	pseudogene	ENSG00000241965
RPS2P26	pseudogene	
RPS2P27	pseudogene	
RPS2P28	pseudogene	ENSG00000179157
RPS2P29	pseudogene	
RPS2P3	pseudogene	
RPS2P30	pseudogene	
RPS2P31	pseudogene	
RPS2P32	pseudogene	ENSG00000232818
RPS2P33	pseudogene	
RPS2P34	pseudogene	
RPS2P35	pseudogene	ENSG00000238172
RPS2P36	pseudogene	ENSG00000227032
RPS2P37	pseudogene	
RPS2P38	pseudogene	
RPS2P39	pseudogene	ENSG00000240698
RPS2P4	pseudogene	ENSG00000196183
RPS2P40	pseudogene	
RPS2P41	pseudogene	ENSG00000244060
RPS2P42	pseudogene	
RPS2P43	pseudogene	
RPS2P44	pseudogene	ENSG00000243609
RPS2P45	pseudogene	ENSG00000244378
RPS2P46	pseudogene	ENSG00000189343
RPS2P47	pseudogene	
RPS2P48	pseudogene	ENSG00000233380
RPS2P49	pseudogene	
RPS2P5	pseudogene	ENSG00000240342
RPS2P50	pseudogene	
RPS2P51	pseudogene	
RPS2P52	pseudogene	ENSG00000213726
RPS2P53	pseudogene	
RPS2P54	pseudogene	
RPS2P55	pseudogene	ENSG00000216866
RPS2P6	pseudogene	ENSG00000214255
RPS2P7	pseudogene	ENSG00000235508
RPS2P8	pseudogene	
RPS2P9	pseudogene	
RPS3	protein-coding gene	ENSG00000149273
RPS3A	protein-coding gene	ENSG00000145425
RPS3AP1	pseudogene	ENSG00000233206
RPS3AP10	pseudogene	ENSG00000226292
RPS3AP11	pseudogene	ENSG00000230116
RPS3AP12	pseudogene	ENSG00000236804
RPS3AP13	pseudogene	ENSG00000230783
RPS3AP14	pseudogene	ENSG00000242229
RPS3AP15	pseudogene	ENSG00000244674
RPS3AP16	pseudogene	ENSG00000243894
RPS3AP17	pseudogene	ENSG00000244031
RPS3AP18	pseudogene	ENSG00000243417
RPS3AP19	pseudogene	ENSG00000244004
RPS3AP2	pseudogene	ENSG00000219027
RPS3AP20	pseudogene	ENSG00000213757
RPS3AP21	pseudogene	ENSG00000214784
RPS3AP22	pseudogene	ENSG00000240083
RPS3AP23	pseudogene	ENSG00000218351
RPS3AP24	pseudogene	ENSG00000217684
RPS3AP25	pseudogene	ENSG00000232385
RPS3AP26	pseudogene	ENSG00000214389
RPS3AP27	pseudogene	ENSG00000226205
RPS3AP28	pseudogene	ENSG00000234995
RPS3AP29	pseudogene	ENSG00000237818
RPS3AP3	pseudogene	ENSG00000231241
RPS3AP30	pseudogene	ENSG00000228744
RPS3AP31	pseudogene	ENSG00000244427
RPS3AP32	pseudogene	ENSG00000240047
RPS3AP33	pseudogene	ENSG00000214268
RPS3AP34	pseudogene	ENSG00000242607
RPS3AP35	pseudogene	ENSG00000244289
RPS3AP36	pseudogene	ENSG00000214362
RPS3AP37	pseudogene	ENSG00000227583
RPS3AP38	pseudogene	ENSG00000226318
RPS3AP39	pseudogene	ENSG00000237226
RPS3AP4	pseudogene	ENSG00000259105
RPS3AP40	pseudogene	ENSG00000243672
RPS3AP41	pseudogene	ENSG00000239481
RPS3AP42	pseudogene	ENSG00000244244
RPS3AP43	pseudogene	ENSG00000242661
RPS3AP44	pseudogene	ENSG00000234031
RPS3AP46	pseudogene	ENSG00000226132
RPS3AP47	pseudogene	ENSG00000205871
RPS3AP48	pseudogene	ENSG00000242278
RPS3AP49	pseudogene	ENSG00000242060
RPS3AP5	pseudogene	ENSG00000178429
RPS3AP50	pseudogene	ENSG00000243864
RPS3AP51	pseudogene	ENSG00000225971
RPS3AP52	pseudogene	ENSG00000230405
RPS3AP53	pseudogene	ENSG00000227578
RPS3AP54	pseudogene	ENSG00000229057
RPS3AP6	pseudogene	ENSG00000234797
RPS3AP7	pseudogene	ENSG00000229965
RPS3AP8	pseudogene	ENSG00000233562
RPS3AP9	pseudogene	ENSG00000231022
RPS3P1	pseudogene	ENSG00000230935
RPS3P2	pseudogene	ENSG00000231307
RPS3P3	pseudogene	
RPS3P4	pseudogene	
RPS3P5	pseudogene	
RPS3P6	pseudogene	ENSG00000213363
RPS3P7	pseudogene	ENSG00000243101
RPS4X	protein-coding gene	ENSG00000198034
RPS4XP1	pseudogene	ENSG00000214203
RPS4XP10	pseudogene	ENSG00000244217
RPS4XP11	pseudogene	ENSG00000234335
RPS4XP12	pseudogene	ENSG00000244400
RPS4XP13	pseudogene	ENSG00000240371
RPS4XP14	pseudogene	ENSG00000243663
RPS4XP15	pseudogene	ENSG00000240721
RPS4XP16	pseudogene	ENSG00000224892
RPS4XP17	pseudogene	ENSG00000244097
RPS4XP18	pseudogene	ENSG00000239490
RPS4XP19	pseudogene	ENSG00000242058
RPS4XP2	pseudogene	ENSG00000226948
RPS4XP20	pseudogene	ENSG00000249987
RPS4XP21	pseudogene	ENSG00000186008
RPS4XP22	pseudogene	ENSG00000239830
RPS4XP23	pseudogene	ENSG00000239253
RPS4XP3	pseudogene	ENSG00000214541
RPS4XP4	pseudogene	ENSG00000215520
RPS4XP5	pseudogene	ENSG00000229920
RPS4XP6	pseudogene	ENSG00000244073
RPS4XP7	pseudogene	ENSG00000218265
RPS4XP8	pseudogene	ENSG00000219146
RPS4XP9	pseudogene	ENSG00000217404
RPS4Y1	protein-coding gene	ENSG00000129824
RPS4Y1P1	pseudogene	
RPS4Y2	protein-coding gene	ENSG00000280969
RPS5	protein-coding gene	ENSG00000083845
RPS5P1	pseudogene	
RPS5P2	pseudogene	ENSG00000224598
RPS5P3	pseudogene	ENSG00000215088
RPS5P4	pseudogene	
RPS5P5	pseudogene	
RPS5P6	pseudogene	
RPS5P7	pseudogene	ENSG00000225381
RPS5P8	pseudogene	ENSG00000237730
RPS6	protein-coding gene	ENSG00000137154
RPS6KA1	protein-coding gene	ENSG00000117676
RPS6KA2	protein-coding gene	ENSG00000071242
RPS6KA2-AS1	non-coding RNA	ENSG00000231654
RPS6KA2-IT1	non-coding RNA	ENSG00000232082
RPS6KA3	protein-coding gene	ENSG00000177189
RPS6KA4	protein-coding gene	ENSG00000162302
RPS6KA5	protein-coding gene	ENSG00000100784
RPS6KA6	protein-coding gene	ENSG00000072133
RPS6KB1	protein-coding gene	ENSG00000108443
RPS6KB2	protein-coding gene	ENSG00000175634
RPS6KB2-AS1	non-coding RNA	ENSG00000255949
RPS6KC1	protein-coding gene	ENSG00000136643
RPS6KL1	protein-coding gene	ENSG00000198208
RPS6P1	pseudogene	
RPS6P10	pseudogene	
RPS6P11	pseudogene	
RPS6P12	pseudogene	ENSG00000233309
RPS6P13	pseudogene	
RPS6P14	pseudogene	ENSG00000225482
RPS6P15	pseudogene	ENSG00000230809
RPS6P16	pseudogene	ENSG00000243250
RPS6P17	pseudogene	
RPS6P18	pseudogene	
RPS6P19	pseudogene	
RPS6P2	pseudogene	ENSG00000231541
RPS6P20	pseudogene	ENSG00000226356
RPS6P21	pseudogene	ENSG00000243499
RPS6P22	pseudogene	ENSG00000244390
RPS6P23	pseudogene	ENSG00000230871
RPS6P24	pseudogene	
RPS6P25	pseudogene	ENSG00000240616
RPS6P26	pseudogene	ENSG00000213269
RPS6P3	pseudogene	ENSG00000237549
RPS6P4	pseudogene	ENSG00000244571
RPS6P5	pseudogene	
RPS6P7	pseudogene	ENSG00000219253
RPS6P8	pseudogene	ENSG00000224221
RPS6P9	pseudogene	
RPS7	protein-coding gene	ENSG00000171863
RPS7P1	pseudogene	ENSG00000263266
RPS7P10	pseudogene	ENSG00000226525
RPS7P11	pseudogene	ENSG00000213326
RPS7P12	pseudogene	ENSG00000237432
RPS7P13	pseudogene	ENSG00000235425
RPS7P14	pseudogene	ENSG00000213695
RPS7P15	pseudogene	ENSG00000237170
RPS7P2	pseudogene	ENSG00000231837
RPS7P3	pseudogene	ENSG00000231940
RPS7P4	pseudogene	ENSG00000229133
RPS7P5	pseudogene	ENSG00000217327
RPS7P6	pseudogene	ENSG00000215278
RPS7P7	pseudogene	ENSG00000240167
RPS7P8	pseudogene	ENSG00000213183
RPS7P9	pseudogene	ENSG00000233353
RPS8	protein-coding gene	ENSG00000142937
RPS8P1	pseudogene	
RPS8P10	pseudogene	ENSG00000223877
RPS8P3	pseudogene	ENSG00000215457
RPS8P4	pseudogene	ENSG00000227437
RPS8P5	pseudogene	
RPS8P6	pseudogene	ENSG00000231660
RPS8P7	pseudogene	
RPS8P8	pseudogene	
RPS8P9	pseudogene	
RPS9	protein-coding gene	ENSG00000170889
RPS9P1	pseudogene	ENSG00000214889
RPS9P2	pseudogene	
RPS9P3	pseudogene	
RPS9P4	pseudogene	
RPSA	protein-coding gene	ENSG00000168028
RPSAP1	pseudogene	ENSG00000228820
RPSAP10	pseudogene	ENSG00000224439
RPSAP11	pseudogene	ENSG00000237433
RPSAP12	pseudogene	ENSG00000240087
RPSAP13	pseudogene	ENSG00000233924
RPSAP14	pseudogene	ENSG00000233984
RPSAP15	pseudogene	ENSG00000237506
RPSAP16	pseudogene	ENSG00000235145
RPSAP17	pseudogene	ENSG00000226855
RPSAP18	pseudogene	ENSG00000224261
RPSAP19	pseudogene	ENSG00000183298
RPSAP2	pseudogene	ENSG00000237425
RPSAP20	pseudogene	ENSG00000229871
RPSAP21	pseudogene	ENSG00000226498
RPSAP22	pseudogene	ENSG00000229648
RPSAP23	pseudogene	ENSG00000230391
RPSAP24	pseudogene	ENSG00000235414
RPSAP25	pseudogene	ENSG00000230384
RPSAP26	pseudogene	ENSG00000242735
RPSAP27	pseudogene	ENSG00000233869
RPSAP28	pseudogene	ENSG00000214484
RPSAP29	pseudogene	ENSG00000244722
RPSAP3	pseudogene	ENSG00000242952
RPSAP30	pseudogene	
RPSAP31	pseudogene	ENSG00000234371
RPSAP32	pseudogene	ENSG00000238075
RPSAP33	pseudogene	ENSG00000226765
RPSAP34	pseudogene	ENSG00000239939
RPSAP35	pseudogene	ENSG00000237684
RPSAP36	pseudogene	ENSG00000243175
RPSAP37	pseudogene	ENSG00000241888
RPSAP38	pseudogene	ENSG00000239694
RPSAP39	pseudogene	ENSG00000244002
RPSAP4	pseudogene	ENSG00000239269
RPSAP40	pseudogene	ENSG00000231368
RPSAP41	pseudogene	ENSG00000239626
RPSAP42	pseudogene	ENSG00000219463
RPSAP43	pseudogene	ENSG00000216471
RPSAP44	pseudogene	ENSG00000220773
RPSAP45	pseudogene	ENSG00000219773
RPSAP46	pseudogene	ENSG00000213394
RPSAP47	pseudogene	ENSG00000188856
RPSAP48	pseudogene	ENSG00000240590
RPSAP49	pseudogene	ENSG00000226327
RPSAP5	pseudogene	ENSG00000243904
RPSAP50	pseudogene	ENSG00000224776
RPSAP51	pseudogene	ENSG00000244131
RPSAP52	pseudogene	ENSG00000241749
RPSAP53	pseudogene	ENSG00000214263
RPSAP54	pseudogene	ENSG00000213621
RPSAP55	pseudogene	ENSG00000214896
RPSAP56	pseudogene	ENSG00000284670
RPSAP57	pseudogene	ENSG00000267524
RPSAP58	other	ENSG00000225178
RPSAP59	pseudogene	ENSG00000233071
RPSAP6	pseudogene	ENSG00000214629
RPSAP60	pseudogene	ENSG00000228965
RPSAP61	pseudogene	ENSG00000214016
RPSAP62	pseudogene	ENSG00000226299
RPSAP63	pseudogene	ENSG00000233260
RPSAP64	pseudogene	ENSG00000227721
RPSAP65	pseudogene	ENSG00000223683
RPSAP66	pseudogene	ENSG00000266943
RPSAP67	pseudogene	ENSG00000266858
RPSAP68	pseudogene	ENSG00000279990
RPSAP69	pseudogene	ENSG00000233487
RPSAP7	pseudogene	ENSG00000237032
RPSAP70	pseudogene	ENSG00000250327
RPSAP71	pseudogene	ENSG00000254256
RPSAP72	pseudogene	ENSG00000219361
RPSAP73	pseudogene	ENSG00000274319
RPSAP74	pseudogene	ENSG00000253621
RPSAP75	pseudogene	ENSG00000270954
RPSAP76	pseudogene	ENSG00000235332
RPSAP8	pseudogene	ENSG00000230592
RPSAP9	pseudogene	ENSG00000234618
RPTN	protein-coding gene	ENSG00000215853
RPTOR	protein-coding gene	ENSG00000141564
RPUSD1	protein-coding gene	ENSG00000007376
RPUSD2	protein-coding gene	ENSG00000166133
RPUSD3	protein-coding gene	ENSG00000156990
RPUSD4	protein-coding gene	ENSG00000165526
RRAD	protein-coding gene	ENSG00000166592
RRAGA	protein-coding gene	ENSG00000155876
RRAGAP1	pseudogene	ENSG00000259046
RRAGB	protein-coding gene	ENSG00000083750
RRAGC	protein-coding gene	ENSG00000116954
RRAGD	protein-coding gene	ENSG00000025039
RRAS	protein-coding gene	ENSG00000126458
RRAS2	protein-coding gene	ENSG00000133818
RRAS2P1	pseudogene	ENSG00000236360
RRAS2P2	pseudogene	ENSG00000233751
RRBP1	protein-coding gene	ENSG00000125844
RREB1	protein-coding gene	ENSG00000124782
RRH	protein-coding gene	ENSG00000180245
RRM1	protein-coding gene	ENSG00000167325
RRM1-AS1	non-coding RNA	ENSG00000255276
RRM2	protein-coding gene	ENSG00000171848
RRM2B	protein-coding gene	ENSG00000048392
RRM2P2	pseudogene	ENSG00000236484
RRM2P3	pseudogene	ENSG00000214018
RRM2P4	pseudogene	ENSG00000235598
RRN3	protein-coding gene	ENSG00000085721
RRN3P1	pseudogene	ENSG00000248124
RRN3P2	pseudogene	ENSG00000103472
RRN3P3	pseudogene	ENSG00000257122
